Date,Author,Content
2024-01-09 12:10:56,Alice,let's plan something soon
2024-01-09 14:00:29,Bob,always
2024-01-09 14:12:54,Bob,yeah finally
2024-01-09 14:53:48,Alice,same here
2024-01-09 15:13:46,Alice,you're a real one
2024-01-09 15:22:19,Bob,what time works for you?
2024-01-09 17:57:14,Bob,this is gonna be fun
2024-01-09 18:43:18,Alice,it's nice outside
2024-01-09 19:46:10,Bob,okay fr tho i gotta go now
2024-01-09 19:49:40,Alice,thanks i'll need it
2024-01-09 20:23:55,Bob,lol
2024-01-09 21:30:25,Alice,like what
2024-01-09 21:59:23,Alice,appreciate it
2024-01-09 22:08:41,Bob,BYE
2024-01-09 22:12:54,Alice,thanks bestie
2024-01-09 22:28:16,Alice,lmaoo
2024-01-09 22:52:46,Bob,sounds good
2024-01-10 00:34:41,Alice,wanna watch a movie tonight?
2024-01-10 01:12:55,Bob,sounds good
2024-01-10 03:42:59,Alice,fair enough
2024-01-10 06:36:43,Bob,BYE
2024-01-10 06:51:05,Alice,so are you
2024-01-10 07:38:59,Alice,hmm maybe
2024-01-10 08:35:37,Bob,what's up
2024-01-10 09:24:12,Bob,wanna grab lunch?
2024-01-10 09:32:53,Alice,yes please
2024-01-10 10:14:38,Alice,yeah seriously
2024-01-10 10:32:56,Alice,let's plan something soon
2024-01-10 11:19:11,Bob,which one?
2024-01-10 11:54:06,Alice,nice
2024-01-10 13:37:40,Alice,byeee
2024-01-10 14:23:26,Bob,💀
2024-01-10 16:40:01,Alice,idk yet
2024-01-10 17:30:03,Alice,so are you
2024-01-10 19:06:11,Bob,lol
2024-01-10 19:51:50,Bob,go back to sleep then
2024-01-10 19:52:03,Alice,give me a min
2024-01-10 19:58:37,Bob,talk soon?
2024-01-10 20:07:33,Alice,it was so annoying
2024-01-10 22:14:39,Alice,thanks i'll need it
2024-01-11 01:55:57,Bob,or we could just call
2024-01-11 02:36:56,Alice,i'm free saturday
2024-01-11 02:53:54,Bob,go back to sleep then
2024-01-11 03:08:59,Alice,nice
2024-01-11 04:09:22,Bob,how about chipotle?
2024-01-11 04:26:54,Alice,say less
2024-01-11 05:18:46,Bob,sounds good
2024-01-11 05:50:00,Bob,how about this weekend?
2024-01-11 06:25:18,Alice,wait what
2024-01-11 07:26:12,Alice,ofc
2024-01-11 10:10:51,Bob,wait what
2024-01-11 10:52:50,Alice,how about that new one on netflix
2024-01-11 12:05:49,Alice,definitely
2024-01-11 13:51:19,Alice,me too
2024-01-11 19:09:15,Bob,that was fun
2024-01-11 21:00:30,Alice,wanna do something?
2024-01-11 21:28:34,Bob,what are you doing rn?
2024-01-11 22:24:22,Alice,not really
2024-01-12 05:45:37,Bob,don't worry about it
2024-01-12 07:46:06,Alice,sounds good
2024-01-12 09:49:02,Bob,calling you now
2024-01-12 10:13:47,Alice,for real
2024-01-12 10:27:11,Bob,aww thanks
2024-01-12 12:36:22,Alice,which one?
2024-01-12 13:14:08,Alice,it's nice outside
2024-01-12 13:30:17,Bob,i'm free saturday
2024-01-12 13:59:09,Alice,what are you doing rn?
2024-01-12 15:51:13,Bob,i know right
2024-01-12 17:00:35,Alice,how about chipotle?
2024-01-12 17:30:09,Bob,miss you
2024-01-12 17:48:17,Alice,pretty good
2024-01-12 18:06:16,Alice,what time works for you?
2024-01-12 18:32:10,Bob,you're so dramatic
2024-01-12 18:54:54,Alice,oh btw
2024-01-12 19:28:37,Alice,BYE
2024-01-12 21:05:30,Bob,byeee
2024-01-12 21:27:17,Bob,lol bye
2024-01-12 21:40:19,Alice,just watching tv
2024-01-12 23:38:56,Alice,idk yet
2024-01-12 23:50:39,Bob,tell me
2024-01-12 23:53:34,Bob,just watching tv
2024-01-13 00:19:58,Alice,see you then
2024-01-13 01:41:53,Bob,sorry
2024-01-13 02:19:12,Alice,appreciate it
2024-01-13 03:39:05,Alice,freedom at last
2024-01-13 05:28:14,Bob,facts
2024-01-13 05:29:37,Alice,can't wait
2024-01-13 07:54:46,Bob,glad it's over
2024-01-13 09:00:13,Alice,miss you
2024-01-13 10:27:50,Alice,no cap
2024-01-13 12:09:03,Bob,kinda tired tbh
2024-01-13 12:45:39,Alice,i'm so bored
2024-01-13 14:04:53,Bob,wait what
2024-01-13 14:30:52,Alice,yooo
2024-01-13 14:40:50,Alice,ok i'm back
2024-01-13 15:57:32,Bob,pretty good
2024-01-13 16:13:40,Alice,anything good?
2024-01-13 17:17:11,Bob,thanks i'll need it
2024-01-13 18:51:40,Alice,hey what's up
2024-01-13 21:17:55,Alice,it happens
2024-01-13 22:13:24,Alice,sorry for the late reply
2024-01-14 01:04:24,Alice,sorry
2024-01-14 01:38:03,Bob,okay fr tho i gotta go now
2024-01-14 02:22:35,Alice,okay actually one more thing
2024-01-14 02:41:27,Bob,how about that new one on netflix
2024-01-14 03:38:13,Alice,it's been too long
2024-01-14 04:00:22,Bob,not bad
2024-01-14 04:56:57,Bob,how about that new one on netflix
2024-01-14 05:12:04,Alice,took me forever
2024-01-14 05:24:38,Bob,i have class soon
2024-01-14 06:30:41,Alice,thanks for understanding
2024-01-14 07:56:23,Alice,or we could just call
2024-01-14 08:34:02,Alice,sounds like a plan
2024-01-14 09:36:43,Bob,lol bye
2024-01-14 09:43:43,Alice,no worries
2024-01-14 11:05:44,Bob,it's nice outside
2024-01-14 11:13:18,Alice,way too long
2024-01-14 11:35:36,Bob,fr fr
2024-01-14 12:09:43,Alice,oh yeah i heard about that
2024-01-14 12:30:41,Alice,me too
2024-01-14 12:33:48,Bob,wanna do something?
2024-01-14 12:38:11,Alice,yes please
2024-01-14 14:13:03,Bob,miss you too
2024-01-14 14:47:34,Bob,okay!
2024-01-14 14:55:47,Alice,that was fun
2024-01-14 18:08:48,Bob,i know 😂
2024-01-14 19:10:13,Alice,thanks for understanding
2024-01-14 19:19:14,Bob,lmaoo
2024-01-14 19:39:17,Bob,yeah seriously
2024-01-14 19:41:11,Alice,you're good
2024-01-14 20:27:41,Bob,you're good
2024-01-14 21:33:53,Bob,hmm maybe
2024-01-14 21:56:19,Alice,glad it's over
2024-01-14 23:11:31,Bob,glad it's over
2024-01-14 23:29:45,Bob,anything good?
2024-01-15 00:21:01,Alice,same honestly
2024-01-15 00:21:52,Alice,me too
2024-01-15 01:19:24,Alice,me neither
2024-01-15 01:42:22,Alice,what??
2024-01-15 02:02:41,Alice,see you then
2024-01-15 02:26:08,Bob,bye!
2024-01-15 03:05:11,Alice,okay actually one more thing
2024-01-15 04:27:54,Bob,oh btw
2024-01-15 04:57:47,Bob,sounds good
2024-01-15 04:59:34,Bob,what's up
2024-01-15 05:12:21,Alice,same honestly
2024-01-15 07:03:52,Bob,i have class soon
2024-01-15 07:42:48,Alice,same here
2024-01-15 07:53:50,Bob,bruh
2024-01-15 08:15:53,Alice,byeee
2024-01-15 10:11:11,Alice,which one?
2024-01-15 10:34:13,Bob,go back to sleep then
2024-01-15 10:59:06,Alice,tell me
2024-01-15 13:40:14,Bob,💀
2024-01-15 14:00:13,Alice,i know right
2024-01-15 15:07:16,Alice,miss you
2024-01-15 15:32:07,Bob,wanna do something?
2024-01-15 16:16:33,Bob,no worries
2024-01-15 16:28:04,Alice,for real
2024-01-15 21:38:06,Alice,just background noise
2024-01-15 21:48:06,Bob,anything good?
2024-01-15 22:02:07,Alice,let's plan something soon
2024-01-15 22:42:41,Bob,just background noise
2024-01-15 23:29:54,Bob,same here
2024-01-15 23:39:56,Bob,one sec
2024-01-15 23:52:07,Bob,how about this weekend?
2024-01-16 00:45:53,Bob,have a good day!
2024-01-16 02:20:10,Alice,sure! where?
2024-01-16 03:11:51,Alice,lol
2024-01-16 04:23:09,Bob,what??
2024-01-16 04:39:37,Bob,how'd you sleep?
2024-01-16 05:23:02,Bob,literally
2024-01-16 06:45:44,Alice,sounds like a plan
2024-01-16 07:12:07,Alice,i'm so tired tho
2024-01-16 07:12:53,Alice,like what
2024-01-16 10:08:14,Alice,bruh
2024-01-16 10:23:07,Bob,rip
2024-01-16 10:51:27,Alice,i wish
2024-01-16 11:51:37,Alice,i know 😂
2024-01-16 12:43:27,Alice,huh
2024-01-16 12:58:52,Bob,but you love me anyway
2024-01-16 15:11:00,Alice,me too
2024-01-16 15:56:40,Alice,it was so annoying
2024-01-16 16:02:08,Bob,bruh
2024-01-16 16:43:46,Alice,lmao
2024-01-16 17:01:33,Bob,let's plan something soon
2024-01-16 17:07:09,Bob,thanks for understanding
2024-01-16 17:51:54,Alice,miss you
2024-01-16 18:46:41,Bob,hey what's up
2024-01-16 19:49:55,Alice,ttyl
2024-01-16 21:28:43,Alice,miss you too
2024-01-17 00:05:13,Bob,calling you now
2024-01-17 00:13:19,Alice,sorry for the late reply
2024-01-17 02:25:24,Alice,how about chipotle?
2024-01-17 03:24:06,Alice,give me a min
2024-01-17 04:09:21,Bob,just background noise
2024-01-17 04:50:54,Bob,go back to sleep then
2024-01-17 05:25:08,Alice,okay fr tho i gotta go now
2024-01-17 05:35:42,Bob,literally
2024-01-17 05:42:12,Alice,np
2024-01-17 05:59:54,Alice,maybe 8?
2024-01-17 07:18:45,Bob,aww thanks
2024-01-17 09:26:11,Alice,how was your day?
2024-01-17 09:37:12,Bob,glad it's over
2024-01-17 10:04:32,Bob,i know 😂
2024-01-17 10:05:53,Alice,nevermind lol
2024-01-17 11:08:41,Bob,ofc
2024-01-17 11:52:28,Alice,appreciate it
2024-01-17 12:54:21,Alice,literally
2024-01-17 13:08:30,Bob,same honestly
2024-01-17 13:54:44,Alice,huh
2024-01-17 13:56:58,Bob,or we could just call
2024-01-17 14:08:46,Alice,okayy
2024-01-17 14:16:22,Bob,sounds like a plan
2024-01-17 15:59:22,Alice,i wish
2024-01-17 17:50:57,Alice,me neither
2024-01-17 18:02:41,Bob,it happens
2024-01-17 18:39:34,Alice,definitely
2024-01-17 18:49:14,Bob,freedom at last
2024-01-17 19:49:24,Bob,hey what's up
2024-01-17 20:20:15,Alice,good luck
2024-01-17 21:18:54,Bob,bet
2024-01-17 21:46:09,Alice,np
2024-01-17 22:23:13,Alice,let's do it
2024-01-17 22:38:31,Alice,nevermind lol
2024-01-17 23:04:56,Bob,wanna do something?
2024-01-18 01:09:28,Bob,lol bye
2024-01-18 02:07:32,Bob,miss you
2024-01-18 02:52:42,Alice,i'm overthinking again
2024-01-18 03:39:44,Bob,nice
2024-01-18 04:04:15,Alice,wanna watch a movie tonight?
2024-01-18 04:57:00,Alice,bruh
2024-01-18 06:19:13,Bob,"pretty good, yours?"
2024-01-18 08:17:37,Alice,same honestly
2024-01-18 08:26:11,Bob,kinda tired tbh
2024-01-18 09:01:20,Alice,way too long
2024-01-18 09:38:01,Alice,bye for real this time
2024-01-18 10:19:35,Alice,i'm so bored
2024-01-18 13:01:44,Bob,ofc
2024-01-18 16:16:37,Bob,lol bye
2024-01-18 18:14:11,Alice,np
2024-01-18 20:28:10,Bob,sorry
2024-01-18 20:54:23,Alice,what are you doing rn?
2024-01-18 23:57:51,Bob,ofc
2024-01-19 02:59:38,Bob,that's crazy
2024-01-19 06:01:46,Bob,so are you
2024-01-19 06:10:17,Alice,bruh
2024-01-19 06:14:37,Alice,lmaoo
2024-01-19 07:45:15,Alice,just watching tv
2024-01-19 08:31:57,Bob,you're a real one
2024-01-19 09:12:02,Bob,for sure
2024-01-19 09:16:40,Alice,fair enough
2024-01-19 11:15:41,Alice,you're the best
2024-01-19 11:30:40,Bob,wanna watch a movie tonight?
2024-01-19 11:44:57,Bob,nice
2024-01-19 12:23:03,Alice,you're so dramatic
2024-01-19 14:57:39,Bob,how'd you sleep?
2024-01-19 15:30:06,Alice,😂
2024-01-19 15:32:14,Alice,kinda tired tbh
2024-01-19 17:47:25,Alice,same
2024-01-19 17:58:33,Alice,calling you now
2024-01-19 18:24:09,Bob,let me check
2024-01-19 18:45:36,Bob,appreciate it
2024-01-19 19:07:22,Alice,thanks!
2024-01-19 21:06:50,Bob,good luck
2024-01-19 21:59:41,Bob,pretty good
2024-01-19 22:41:28,Alice,see you then
2024-01-19 22:47:54,Alice,no cap
2024-01-19 23:09:31,Alice,bet
2024-01-20 01:16:48,Bob,always
2024-01-20 01:23:53,Alice,byeee
2024-01-20 02:53:23,Alice,now we can chill
2024-01-20 03:38:27,Bob,huh
2024-01-20 04:36:53,Alice,we should hang out more
2024-01-20 04:45:21,Bob,can't wait
2024-01-20 04:56:29,Alice,wanna do something?
2024-01-20 05:26:56,Bob,no cap
2024-01-20 06:42:35,Bob,true true
2024-01-20 07:42:57,Alice,"pretty good, yours?"
2024-01-20 08:12:59,Bob,lmao
2024-01-20 08:46:30,Alice,okay i gotta go
2024-01-20 09:10:09,Bob,huh
2024-01-20 09:13:53,Alice,cool cool
2024-01-20 09:31:07,Alice,you got this
2024-01-20 09:43:40,Alice,miss you
2024-01-20 10:51:02,Bob,nothing nvm
2024-01-20 11:01:39,Alice,i know 😂
2024-01-20 12:09:50,Bob,miss you
2024-01-20 12:56:40,Bob,how about this weekend?
2024-01-20 14:42:55,Alice,lmao
2024-01-20 15:14:12,Bob,freedom at last
2024-01-20 15:27:53,Alice,okay bye
2024-01-20 18:30:45,Alice,how was your day?
2024-01-20 18:40:28,Bob,cool cool
2024-01-20 20:34:20,Alice,you got this
2024-01-20 21:24:17,Alice,rip
2024-01-20 23:27:28,Bob,all good
2024-01-20 23:51:36,Alice,lmao
2024-01-21 00:53:10,Bob,thanks bestie
2024-01-21 01:17:36,Bob,bet
2024-01-21 01:44:56,Alice,bet
2024-01-21 02:20:31,Alice,yeah let's call
2024-01-21 03:15:19,Alice,yeah let's call
2024-01-21 03:55:31,Bob,oh damn
2024-01-21 04:34:22,Alice,okay fr tho i gotta go now
2024-01-21 05:37:47,Bob,thanks!
2024-01-21 06:01:17,Alice,give me a min
2024-01-21 07:35:09,Alice,idk yet
2024-01-21 07:45:25,Bob,ok i'm back
2024-01-21 08:04:41,Alice,it happens
2024-01-21 09:38:21,Alice,no worries
2024-01-21 10:41:01,Bob,you too
2024-01-21 10:43:00,Bob,wanna do something?
2024-01-21 11:17:25,Bob,we should hang out more
2024-01-21 11:25:45,Alice,yeah let's call
2024-01-21 11:41:50,Alice,morning
2024-01-21 12:14:44,Alice,sorry for the late reply
2024-01-21 12:18:40,Bob,not bad
2024-01-21 13:47:20,Alice,i'm overthinking again
2024-01-21 14:46:37,Bob,huh
2024-01-21 15:46:49,Bob,wanna grab lunch?
2024-01-21 16:03:46,Alice,what time works for you?
2024-01-21 16:21:29,Bob,you too
2024-01-21 16:27:29,Alice,you too
2024-01-21 17:34:51,Bob,one sec
2024-01-21 23:04:53,Bob,lmaoo
2024-01-22 00:50:31,Alice,fr fr
2024-01-22 02:24:08,Alice,thanks!
2024-01-22 03:13:33,Bob,💀
2024-01-22 04:32:05,Bob,ttyl
2024-01-22 05:25:50,Bob,did you finish that assignment?
2024-01-22 07:33:34,Alice,you got this
2024-01-22 07:48:14,Bob,let me check
2024-01-22 08:44:29,Alice,"pretty good, yours?"
2024-01-22 09:17:36,Bob,idk yet
2024-01-22 09:53:37,Alice,i'm so bored
2024-01-22 10:24:30,Bob,anything good?
2024-01-22 12:07:13,Alice,💀
2024-01-22 12:25:15,Bob,always
2024-01-22 13:01:29,Bob,sounds good
2024-01-22 13:28:06,Bob,sorry for the late reply
2024-01-22 14:13:22,Bob,you're a real one
2024-01-22 14:32:39,Alice,yeah let's call
2024-01-22 14:58:51,Bob,lmaoo
2024-01-22 15:14:58,Alice,aww thanks
2024-01-22 16:06:10,Bob,way too long
2024-01-22 16:06:36,Bob,yesss
2024-01-22 18:11:16,Bob,oh btw
2024-01-22 19:28:10,Alice,we should hang out more
2024-01-22 19:47:52,Bob,good luck
2024-01-22 21:59:32,Bob,😂
2024-01-22 22:22:26,Bob,sounds good
2024-01-22 22:49:28,Alice,wait what
2024-01-22 23:04:28,Bob,i'm so tired tho
2024-01-22 23:28:34,Alice,i'm free saturday
2024-01-22 23:59:35,Bob,definitely
2024-01-23 01:08:19,Alice,nice
2024-01-23 01:25:36,Alice,just watching tv
2024-01-23 02:25:20,Bob,same honestly
2024-01-23 02:43:21,Alice,give me a min
2024-01-23 02:56:15,Bob,BYE
2024-01-23 03:00:11,Alice,thanks for understanding
